,brand,model,modellink,key
0,Audi,100,https://auto.drom.ru/audi/100/,audi/100/used
1,Audi,80,https://auto.drom.ru/audi/80/,audi/80/used
2,Audi,A1,https://auto.drom.ru/audi/a1/,audi/a1/used
3,Audi,A3,https://auto.drom.ru/audi/a3/,audi/a3/used
4,Audi,A4,https://auto.drom.ru/audi/a4/,audi/a4/used
5,Audi,A4 allroad quattro,https://auto.drom.ru/audi/a4_allroad_quattro/,audi/a4_allroad_quattro/used
6,Audi,A5,https://auto.drom.ru/audi/a5/,audi/a5/used
7,Audi,A6,https://auto.drom.ru/audi/a6/,audi/a6/used
8,Audi,A6 allroad quattro,https://auto.drom.ru/audi/a6_allroad_quattro/,audi/a6_allroad_quattro/used
9,Audi,A7,https://auto.drom.ru/audi/a7/,audi/a7/used
10,Audi,A8,https://auto.drom.ru/audi/a8/,audi/a8/used
11,Audi,e-tron,https://auto.drom.ru/audi/e-tron/,audi/e-tron/used
12,Audi,Q3,https://auto.drom.ru/audi/q3/,audi/q3/used
13,Audi,Q3 Sportback,https://auto.drom.ru/audi/q3_sportback/,audi/q3_sportback/used
14,Audi,Q5,https://auto.drom.ru/audi/q5/,audi/q5/used
15,Audi,Q5 Sportback,https://auto.drom.ru/audi/q5_sportback/,audi/q5_sportback/used
16,Audi,Q7,https://auto.drom.ru/audi/q7/,audi/q7/used
17,Audi,Q8,https://auto.drom.ru/audi/q8/,audi/q8/used
18,Audi,TT,https://auto.drom.ru/audi/tt/,audi/tt/used
19,Audi,200,https://auto.drom.ru/audi/200/,audi/200/used
20,Audi,90,https://auto.drom.ru/audi/90/,audi/90/used
21,Audi,A2,https://auto.drom.ru/audi/a2/,audi/a2/used
22,Audi,Coupe,https://auto.drom.ru/audi/coupe-model/,audi/coupe-model/used
23,Audi,e-tron Sportback,https://auto.drom.ru/audi/e-tron_sportback/,audi/e-tron_sportback/used
24,Audi,Q2,https://auto.drom.ru/audi/q2/,audi/q2/used
25,Audi,Quattro,https://auto.drom.ru/audi/quattro/,audi/quattro/used
26,Audi,R8,https://auto.drom.ru/audi/r8/,audi/r8/used
27,Audi,RS Q3,https://auto.drom.ru/audi/rs_q3/,audi/rs_q3/used
28,Audi,RS Q8,https://auto.drom.ru/audi/rs_q8/,audi/rs_q8/used
29,Audi,RS3,https://auto.drom.ru/audi/rs3/,audi/rs3/used
30,Audi,RS4,https://auto.drom.ru/audi/rs4/,audi/rs4/used
31,Audi,RS5,https://auto.drom.ru/audi/rs5/,audi/rs5/used
32,Audi,RS6,https://auto.drom.ru/audi/rs6/,audi/rs6/used
33,Audi,RS7,https://auto.drom.ru/audi/rs7/,audi/rs7/used
34,Audi,S3,https://auto.drom.ru/audi/s3/,audi/s3/used
35,Audi,S4,https://auto.drom.ru/audi/s4/,audi/s4/used
36,Audi,S5,https://auto.drom.ru/audi/s5/,audi/s5/used
37,Audi,S6,https://auto.drom.ru/audi/s6/,audi/s6/used
38,Audi,S7,https://auto.drom.ru/audi/s7/,audi/s7/used
39,Audi,S8,https://auto.drom.ru/audi/s8/,audi/s8/used
40,Audi,SQ5,https://auto.drom.ru/audi/sq5/,audi/sq5/used
41,Audi,SQ7,https://auto.drom.ru/audi/sq7/,audi/sq7/used
42,Audi,SQ8,https://auto.drom.ru/audi/sq8/,audi/sq8/used
43,Audi,TT RS,https://auto.drom.ru/audi/tt_rs/,audi/tt_rs/used
44,Audi,TTS,https://auto.drom.ru/audi/tts/,audi/tts/used
45,Audi,V8,https://auto.drom.ru/audi/v8/,audi/v8/used
46,BMW,1-Series,https://auto.drom.ru/bmw/1-series/,bmw/1-series/used
47,BMW,2-Series,https://auto.drom.ru/bmw/2-series/,bmw/2-series/used
48,BMW,3-Series,https://auto.drom.ru/bmw/3-series/,bmw/3-series/used
49,BMW,3-Series Gran Turismo,https://auto.drom.ru/bmw/3-series_gran_turismo/,bmw/3-series_gran_turismo/used
50,BMW,4-Series,https://auto.drom.ru/bmw/4-series/,bmw/4-series/used
51,BMW,5-Series,https://auto.drom.ru/bmw/5-series/,bmw/5-series/used
52,BMW,5-Series Gran Turismo,https://auto.drom.ru/bmw/5-series_gran_turismo/,bmw/5-series_gran_turismo/used
53,BMW,6-Series,https://auto.drom.ru/bmw/6-series/,bmw/6-series/used
54,BMW,7-Series,https://auto.drom.ru/bmw/7-series/,bmw/7-series/used
55,BMW,8-Series,https://auto.drom.ru/bmw/8-series/,bmw/8-series/used
56,BMW,i3,https://auto.drom.ru/bmw/i3/,bmw/i3/used
57,BMW,M5,https://auto.drom.ru/bmw/m5/,bmw/m5/used
58,BMW,X1,https://auto.drom.ru/bmw/x1/,bmw/x1/used
59,BMW,X2,https://auto.drom.ru/bmw/x2/,bmw/x2/used
60,BMW,X3,https://auto.drom.ru/bmw/x3/,bmw/x3/used
61,BMW,X4,https://auto.drom.ru/bmw/x4/,bmw/x4/used
62,BMW,X5,https://auto.drom.ru/bmw/x5/,bmw/x5/used
63,BMW,X6,https://auto.drom.ru/bmw/x6/,bmw/x6/used
64,BMW,X7,https://auto.drom.ru/bmw/x7/,bmw/x7/used
65,BMW,2-Series Active Tourer,https://auto.drom.ru/bmw/2-series_active_tourer/,bmw/2-series_active_tourer/used
66,BMW,2-Series Gran Tourer,https://auto.drom.ru/bmw/2-series_gran_tourer/,bmw/2-series_gran_tourer/used
67,BMW,326,https://auto.drom.ru/bmw/326/,bmw/326/used
68,BMW,340,https://auto.drom.ru/bmw/340/,bmw/340/used
69,BMW,6-Series Gran Turismo,https://auto.drom.ru/bmw/6-series_gran_turismo/,bmw/6-series_gran_turismo/used
70,BMW,i8,https://auto.drom.ru/bmw/i8/,bmw/i8/used
71,BMW,M2,https://auto.drom.ru/bmw/m2/,bmw/m2/used
72,BMW,M3,https://auto.drom.ru/bmw/m3/,bmw/m3/used
73,BMW,M4,https://auto.drom.ru/bmw/m4/,bmw/m4/used
74,BMW,M6,https://auto.drom.ru/bmw/m6/,bmw/m6/used
75,BMW,M8,https://auto.drom.ru/bmw/m8/,bmw/m8/used
76,BMW,Z3,https://auto.drom.ru/bmw/z3/,bmw/z3/used
77,BMW,Z4,https://auto.drom.ru/bmw/z4/,bmw/z4/used
78,Chevrolet,Aveo,https://auto.drom.ru/chevrolet/aveo/,chevrolet/aveo/used
79,Chevrolet,Blazer,https://auto.drom.ru/chevrolet/blazer/,chevrolet/blazer/used
